cell_type	beta	se	z	p	q	sig_pct	trait	discovery
smooth muscle cell of trachea	11.528887444648456	7.727260210036115	1.491976086126207	0.1651695293244276	0.507389323868253	0.0	UKB_460K.pigment_HAIR	False
precursor B cell	25.38681213830562	20.82714025546532	1.2189293310032705	0.1738868038094046	0.508936986759233	0.0	UKB_460K.pigment_HAIR	False
stromal cell	12.727865153934102	11.158258911071892	1.140667666467638	0.2322550188380459	0.6635857681087026	0.0	UKB_460K.pigment_HAIR	False
smooth muscle cell of the pulmonary artery	12.392241007578068	15.952062436548736	0.7768425591906822	0.2869820020200578	0.7366933305782558	0.0	UKB_460K.pigment_HAIR	False
enterocyte of epithelium of large intestine	9.785575720887593	9.071780107165983	1.0786830815219792	0.2946773322313023	0.7366933305782558	0.0	UKB_460K.pigment_HAIR	False
kidney collecting duct principal cell	15.061064477927234	15.829758763081957	0.9514399242174514	0.2913406847069751	0.7366933305782558	0.0	UKB_460K.pigment_HAIR	False
epithelial cell of large intestine	15.37317369010878	9.515028942317752	1.615672824886232	0.2674823044093358	0.7366933305782558	0.0	UKB_460K.pigment_HAIR	False
dendritic cell	9.458768572574632	12.88514289786704	0.7340833274065127	0.2823612165452081	0.7366933305782558	0.0	UKB_460K.pigment_HAIR	False
fenestrated cell	20.80345183240456	20.30178934887174	1.02471025952009	0.2806093096838514	0.7366933305782558	0.0	UKB_460K.pigment_HAIR	False
neuroepithelial cell	14.75570646009566	20.364558633123924	0.7245777689527139	0.3164515769460614	0.7749834537454565	0.0	UKB_460K.pigment_HAIR	False
intermediate monocyte	11.948131561279297	26.17972829935647	0.4563886769433354	0.3333201088013274	0.7999682611231859	0.0	UKB_460K.pigment_HAIR	False
late pro-B cell	6.240581451048668	11.4052693324219	0.5471665130527422	0.391291808621132	0.9206866085203106	0.0	UKB_460K.pigment_HAIR	False
lymphoid progenitor cell	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
lung macrophage	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
plasmacytoid dendritic cell	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
plasma cell	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
myeloid leukocyte	12.50485886086854	14.666722376817788	0.8526007747057184	0.4366558282490315	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
type I pneumocyte	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
oligodendrocyte precursor cell	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
lung neuroendocrine cell	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
professional antigen presenting cell	21.118364407746984	28.33784759156155	0.7452353019936353	0.4279813162929453	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
kidney interstitial fibroblast	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
Bergmann glial cell	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
club cell of bronchiole	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
interneuron	0.0	1e-06	0.0	0.5	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
granulocytopoietic cell	5.406517750706556	13.69915701826179	0.3946606162334913	0.4635193153933951	0.9230769230769232	0.0	UKB_460K.pigment_HAIR	False
secretory cell	2.2963737375703	8.1324616560447	0.2823712960101632	0.535171796331093	0.9730396296928964	0.0	UKB_460K.pigment_HAIR	False
smooth muscle cell	2.3475983141096184	11.717832984143753	0.200344066798556	0.5527119350763682	0.9899318240173758	0.0	UKB_460K.pigment_HAIR	False
large intestine goblet cell	1.277750760109751	8.47276137255073	0.150806886199969	0.7315433965680549	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
early pro-B cell	-12.985176669232708	12.618622949125395	-1.0290486308676587	0.8942087856881649	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
endocardial cell	-9.342150282185896	15.596462713100596	-0.5989916081637376	0.8777336952057182	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
pancreatic stellate cell	-8.004837036132812	14.071155105600264	-0.5688827232774173	0.6939499432966248	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
ciliated columnar cell of tracheobronchial tree	-2.5562095642089844	1.8766644401720436	-1.3621026271348988	0.9149420931507426	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
pancreatic ductal cell	0.768901719363982	8.422053262582628	0.0912962309060721	0.5723937585870101	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
pancreatic acinar cell	-3.783818693733606	7.698315959839884	-0.4915125221506633	0.8505570907162413	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
pancreatic PP cell	-11.667100490216852	5.284789821068701	-2.2076754015276068	0.9924426926191288	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
pancreatic D cell	-17.760358168130466	5.804060926574988	-3.0599882380302583	0.9996620549884376	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
pericyte cell	-5.699867248535156	5.478374796262683	-1.0404303211280057	0.8295283493191443	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
brain pericyte	-3.779745797525029	8.054534678261241	-0.469269293448616	0.8200968783481952	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
basophil	-2.026207629555641	5.681968711304533	-0.3566030952483792	0.6716848610226077	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
pulmonary interstitial fibroblast	-5.681605815887451	13.272026323785632	-0.4280887995004265	0.6559962819535267	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
pancreatic B cell	-14.83807628505653	7.804483292455194	-1.901224684458086	0.9905146767269122	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
atrial myocyte	-14.50292416068164	11.092747516104913	-1.3074239848717093	0.9887787443311602	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
astrocyte	-34.10436248779297	7.832047566613367	-4.354463146160377	0.9999937398210084	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
aortic endothelial cell	3.685941507605768	10.543699861327465	0.3495871047245177	0.8217367791078589	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
adventitial cell	-7.076499030765044	14.177209622779705	-0.4991461097813383	0.8553164186678257	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
Kupffer cell	-10.724021358671814	6.787962478253443	-1.57985866790341	0.9724175290518204	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
thymocyte	-2.0334077186864885	14.038230897221322	-0.1448478610712247	0.7708235175518033	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
Brush cell of epithelium proper of large intestine	-7.21401698651202	3.759644741212464	-1.9188028345958927	0.9927393321623872	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
type II pneumocyte	-7.201780678985289	7.102107276160112	-1.014034342055034	0.8853430481862611	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
bladder cell	-9.551075549148583	9.315577718908006	-1.0252800027380573	0.9554186212743716	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
pancreatic A cell	-15.902990613109864	6.680304836353059	-2.380578581768986	0.99695768806112	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
endothelial cell of coronary artery	7.45576343482266	17.602357154172317	0.4235661945454508	0.6585906574747906	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
oligodendrocyte	-1.2630360470877575	6.210071826461816	-0.2033850947916284	0.6279513639011411	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
kidney collecting duct epithelial cell	-0.8881611350464524	8.553102061805975	-0.1038408203980812	0.645685278686984	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
leukocyte	1.1030904825963006	15.828924049175626	0.0696882794540763	0.6496068021429506	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
hepatocyte	-14.288364818066984	5.619342115944057	-2.542711321584399	0.9991836175190242	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
lymphocyte	-17.74716567993164	11.320476270166347	-1.5677048612081808	0.935292818551388	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
granulocyte	1.1019501133911769	19.716993844118324	0.0558883429240352	0.7121644647243714	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
fibrocyte	-12.481045722961426	4.308182033536075	-2.897056258488042	0.9980128201071076	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
mature NK T cell	-4.283464021083882	20.0529888347891	-0.2136072610608887	0.7230105276705635	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
fibroblast of lung	-14.347385462840114	16.27737308527548	-0.8814312596802715	0.913116193631219	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
medium spiny neuron	-5.411093711853027	1.469657455290066	-3.68187409411334	0.9998887718398451	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
megakaryocyte-erythroid progenitor cell	-4.122632497572654	5.524948355972524	-0.7461848024544967	0.8657250103222784	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
mesangial cell	-19.391796112060547	16.989297527230224	-1.1414124734103708	0.874140289860482	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
mesenchymal stem cell	-4.292205103002997	15.93672530254962	-0.2693279216098626	0.9054537092620244	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
fibroblast of cardiac tissue	1.1966902490649165	13.531700647838662	0.0884360569457363	0.7761502493986597	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
fibroblast	2.619344115760784	9.66575308184061	0.2709922438099353	0.7571901791350306	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
monocyte	0.7050701071199372	15.1667515678495	0.0464878786974097	0.7955330655301094	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
mucus secreting cell	-0.9364650767449584	6.207995445089644	-0.1508482222688608	0.5800047343367226	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
epithelial cell of proximal tubule	-1.919006297077471	8.291643720650349	-0.2314385858497735	0.7237165212424642	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
myeloid dendritic cell	3.753593313600596	13.48662390500795	0.2783197144102746	0.6321239195157378	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
ependymal cell	-2.0798639079005605	3.537549054216321	-0.5879392415552852	0.8091215496194895	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
enteroendocrine cell	0.2348277071423928	5.991226267571293	0.0391952659864383	0.6468435338472407	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
endothelial cell of lymphatic vessel	-6.72947686140426	11.418038814980086	-0.5893723931447326	0.8148487157120001	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
neuron	-18.549422128361535	12.895534260424675	-1.4384376601819573	0.9811924200513636	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
neuronal stem cell	-3.9519171745429738	3.304425707776498	-1.1959467465837397	0.933735315293484	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
neutrophil	-8.05304894377832	21.23430984100736	-0.3792470301166276	0.833924800453256	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
endothelial cell of hepatic sinusoid	-13.069412525709346	14.88177275033974	-0.8782161067075145	0.918550614345262	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
kidney loop of Henle ascending limb epithelial cell	-10.927783401827892	6.147094018507175	-1.7777153511768984	0.9788607502421276	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
ventricular myocyte	-18.20913381844483	10.718390701292805	-1.6988682653869414	0.985761069963316	0.9999937398210084	0.0	UKB_460K.pigment_HAIR	False
hepatocyte	54.70949403095342	8.383540157270234	6.525822385846052	2.588981624969052e-13	3.106777949962862e-11	0.8691910499139415	UKB_460K.biochemistry_LDLdirect	True
intestinal crypt stem cell	48.23954575823862	8.444702169749458	5.712403444024576	3.2421080379508616e-11	1.945264822770517e-09	0.8999366687777074	UKB_460K.biochemistry_LDLdirect	True
secretory cell	40.18911837536969	7.848152311848894	5.120838227705319	5.988094595520485e-09	2.3952378382081937e-07	0.8010657193605684	UKB_460K.biochemistry_LDLdirect	True
large intestine goblet cell	40.16192845325597	8.223763072324694	4.883643667752577	1.2143371013461682e-08	3.643011304038505e-07	0.722117202268431	UKB_460K.biochemistry_LDLdirect	True
classical monocyte	105.6523046871968	23.970260290915107	4.407641110482214	8.365496287331623e-07	2.0077191089595896e-05	0.6485148514851485	UKB_460K.biochemistry_LDLdirect	True
enterocyte of epithelium of large intestine	35.1998367063592	8.086228320702526	4.353059957043244	1.371200645246471e-06	2.7424012904929418e-05	0.5857592446892211	UKB_460K.biochemistry_LDLdirect	True
promonocyte	65.12194417152025	15.52062954353724	4.195831360373967	2.730116611184548e-06	4.680199904887796e-05	0.5152709359605911	UKB_460K.biochemistry_LDLdirect	True
myeloid cell	52.89827130683271	13.209773832900172	4.004479711460664	1.542556807413378e-05	0.000231383521112	0.3356807511737089	UKB_460K.biochemistry_LDLdirect	True
myeloid leukocyte	46.03199351587661	11.620415863278758	3.961303455699946	5.65069339809273e-05	0.0007095596233948	0.3492822966507177	UKB_460K.biochemistry_LDLdirect	True
epithelial cell of large intestine	36.27097530570517	9.150278881434348	3.963920201306424	5.912996861623578e-05	0.0007095596233948	0.3110328638497652	UKB_460K.biochemistry_LDLdirect	True
non-classical monocyte	80.2112955869411	23.438473193603272	3.422206511678074	0.0001672262553809	0.0018242864223379	0.6577181208053692	UKB_460K.biochemistry_LDLdirect	True
endothelial cell of hepatic sinusoid	40.86889043229358	12.898926689657776	3.168394659151124	0.000318893472991	0.0031889347299102	0.93354943273906	UKB_460K.biochemistry_LDLdirect	True
leukocyte	51.97714057094321	15.084312537984417	3.445774571433566	0.0004822543611463	0.0044515787182739	0.1329113924050632	UKB_460K.biochemistry_LDLdirect	True
Kupffer cell	35.21522842659874	11.813584071366371	2.980909791123678	0.0010139179771742	0.008690725518636	0.8778625954198473	UKB_460K.biochemistry_LDLdirect	True
pancreatic ductal cell	22.15672514090623	8.337456943310949	2.6574920016447376	0.0025686254885975	0.0205490039087804	0.6421725239616614	UKB_460K.biochemistry_LDLdirect	True
hematopoietic stem cell	28.481529841254314	10.471849056430928	2.719818600112781	0.0035616457379386	0.0249600953595578	0.4503932244404113	UKB_460K.biochemistry_LDLdirect	True
microglial cell	59.47682078958002	22.12437783061316	2.688293485355456	0.0033533331357427	0.0249600953595578	0.3231835996382273	UKB_460K.biochemistry_LDLdirect	True
intermediate monocyte	62.93428802490234	23.71126055175317	2.6541941069535038	0.0037440143039336	0.0249600953595578	0.4166666666666667	UKB_460K.biochemistry_LDLdirect	True
mature NK T cell	45.97049361647244	18.91816847645228	2.4299653358988	0.0082578644771005	0.0521549335395825	0.0904522613065326	UKB_460K.biochemistry_LDLdirect	True
monocyte	34.82687973009859	14.21278913520052	2.4503902364838144	0.0139128800168223	0.0834772801009341	0.2591725214676034	UKB_460K.biochemistry_LDLdirect	True
keratinocyte	18.218476090635043	8.074450446320942	2.2563115857545637	0.0146326522510811	0.0836151557204639	0.0748971193415637	UKB_460K.biochemistry_LDLdirect	True
epidermal cell	24.894446182619976	12.000130945173536	2.0745145445794115	0.0185556198230542	0.1012124717621143	0.0	UKB_460K.biochemistry_LDLdirect	False
DN4 thymocyte	34.43109344230932	15.840765262110446	2.1735751317939864	0.0288482247058165	0.1505124767259993	0.0	UKB_460K.biochemistry_LDLdirect	False
basal cell of epidermis	20.70927105305592	9.295492205984877	2.227883214158613	0.0329246467176462	0.1646232335882311	0.0	UKB_460K.biochemistry_LDLdirect	False
bronchial smooth muscle cell	30.23893252812503	16.251252463275826	1.8607139724435529	0.0492774453680396	0.2274343632371061	0.0	UKB_460K.biochemistry_LDLdirect	False
pancreatic acinar cell	13.954431463194112	8.122150435410823	1.7180710421658532	0.0490781528921801	0.2274343632371061	0.0	UKB_460K.biochemistry_LDLdirect	False
macrophage	21.82721020417276	8.549516927223122	2.5530343281351016	0.0558900101273997	0.239528614831713	0.0	UKB_460K.biochemistry_LDLdirect	False
endocardial cell	25.53666196259243	14.129421732603072	1.8073394966807177	0.0548865273033303	0.239528614831713	0.0	UKB_460K.biochemistry_LDLdirect	False
CD8-positive, alpha-beta T cell	30.57141889911801	16.344404997846617	1.870451625687556	0.0626669753396006	0.2593116220948992	0.0	UKB_460K.biochemistry_LDLdirect	False
fenestrated cell	33.80432528807052	19.2615229814907	1.7550182984260738	0.072114474899779	0.2791528060636608	0.0	UKB_460K.biochemistry_LDLdirect	False
CD4-positive, alpha-beta T cell	33.70588224600545	17.937650467629926	1.8790578123278012	0.0717369459786249	0.2791528060636608	0.0	UKB_460K.biochemistry_LDLdirect	False
B cell	40.89648823453976	22.42072602694504	1.824048346400144	0.0760642502771804	0.2852409385394268	0.0	UKB_460K.biochemistry_LDLdirect	False
vein endothelial cell	31.129906661826364	20.46100783407641	1.521425870820578	0.0863943243312942	0.3049211446986855	0.0	UKB_460K.biochemistry_LDLdirect	False
naive B cell	39.95736643550673	21.327084534743896	1.873550337853835	0.0843499199361541	0.3049211446986855	0.0	UKB_460K.biochemistry_LDLdirect	False
granulocyte monocyte progenitor cell	13.368530946637986	8.407539172409486	1.5900646636900233	0.0894798614318436	0.3067880963377496	0.0	UKB_460K.biochemistry_LDLdirect	False
smooth muscle cell of the pulmonary artery	22.70446459408669	15.95619847744672	1.4229244281573905	0.1131828445602887	0.3680224489740474	0.0	UKB_460K.biochemistry_LDLdirect	False
T cell	29.50760447630937	15.7858146334847	1.869248129502177	0.1134735884336646	0.3680224489740474	0.0	UKB_460K.biochemistry_LDLdirect	False
luminal epithelial cell of mammary gland	10.248639100805995	6.980541822699132	1.4681724371996108	0.1210042699565899	0.3821187472313367	0.0	UKB_460K.biochemistry_LDLdirect	False
respiratory basal cell	9.540359497070312	8.878125137495655	1.0745916901731642	0.1338798378350393	0.4119379625693517	0.0	UKB_460K.biochemistry_LDLdirect	False
epithelial cell	16.832620103287955	8.755984251235502	1.9224132456511451	0.1428188267707071	0.4284564803121215	0.0	UKB_460K.biochemistry_LDLdirect	False
keratinocyte stem cell	11.23069953918457	10.850239947078622	1.0350646247420905	0.156552634509302	0.4582028327101524	0.0	UKB_460K.biochemistry_LDLdirect	False
endothelial cell	18.526297788698727	11.108811085139235	1.667712021269513	0.1856772186233641	0.5305063389238976	0.0	UKB_460K.biochemistry_LDLdirect	False
professional antigen presenting cell	56.121845337636486	47.26660516642945	1.1873466507701798	0.2418089892603525	0.6748157839823791	0.0	UKB_460K.biochemistry_LDLdirect	False
immature B cell	21.715576964177004	20.12713931852397	1.0789201893282034	0.253653822074846	0.6917831511132164	0.0	UKB_460K.biochemistry_LDLdirect	False
mature alpha-beta T cell	15.212959413994062	13.402090530783676	1.1351183891088443	0.2839001717799822	0.7422054600167427	0.0	UKB_460K.biochemistry_LDLdirect	False
endothelial cell of coronary artery	20.97064437401772	17.684213884397078	1.1858397840641524	0.284512093006418	0.7422054600167427	0.0	UKB_460K.biochemistry_LDLdirect	False
epithelial cell of proximal tubule	5.224464166733817	7.222156873928878	0.7233938915940067	0.3135650404524392	0.8005915926445256	0.0	UKB_460K.biochemistry_LDLdirect	False
chondrocyte	6.868570199445451	8.313619700249218	0.826182871852985	0.3213760423129588	0.803440105782397	0.0	UKB_460K.biochemistry_LDLdirect	False
granulocyte	16.547222837844565	19.679689894469327	0.8408274178392875	0.3404664877201364	0.8337954801309463	0.0	UKB_460K.biochemistry_LDLdirect	False
NK cell	12.03478077877699	14.7279322565403	0.8171398787791577	0.361983082138119	0.8687593971314856	0.0	UKB_460K.biochemistry_LDLdirect	False
lung neuroendocrine cell	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
lymphoid progenitor cell	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
proerythroblast	6.387023529902012	11.792644014165502	0.5416108145238526	0.4589760230113183	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
plasmacytoid dendritic cell	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
plasma cell	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
oligodendrocyte precursor cell	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
neutrophil	12.251406618000129	23.703663323334325	0.5168570971871516	0.4670835923344386	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
type I pneumocyte	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
lung macrophage	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
myeloid dendritic cell	8.312642519851389	12.413748199944552	0.6696319585319539	0.4351418642333843	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
kidney interstitial fibroblast	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
interneuron	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
club cell of bronchiole	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
Bergmann glial cell	0.0	1e-06	0.0	0.5	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
dendritic cell	4.886896516880529	11.296379040450256	0.4326073425282075	0.4117643260684233	0.9090909090909092	0.0	UKB_460K.biochemistry_LDLdirect	False
